name,type,len,default,not-null,primary-key,comment,table-comment
USEROPERATELOGV1.id,VARCHAR,50,,1,1,id,操作日志
USEROPERATELOGV1.reqId,VARCHAR,50,,,,请求ID,
USEROPERATELOGV1.ip,VARCHAR,30,,,,客户端IP地址,
USEROPERATELOGV1.userId,VARCHAR,30,,,,操作的用户ID,
USEROPERATELOGV1.resultMsg,CLOB,,,,,操作的结果信息,
USEROPERATELOGV1.optType,INTEGER,,,,,操作类型,
USEROPERATELOGV1.optStatus,INTEGER,,,,,操作状态 成功/失败,
USEROPERATELOGV1.optTime,BIGINT,,,,,操作时间,
USEROPERATELOGV1.nodeId,VARCHAR,30,,,,节点ID,
USEROPERATELOGV1.dataId,VARCHAR,50,,,,操作的数据ID,
USEROPERATELOGV1.userAgent,CLOB,,,,,浏览器标识,
USEROPERATELOGV1.reqData,CLOB,,,,,用户请求参数,
MONITORNOTIFYLOG.id,VARCHAR,50,,1,1,记录id,监控异常日志记录
MONITORNOTIFYLOG.monitorId,varchar,50,,,,监控id,
MONITORNOTIFYLOG.nodeId,VARCHAR,30,,,,节点id,
MONITORNOTIFYLOG.projectId,VARCHAR,30,,,,项目id,
MONITORNOTIFYLOG.createTime,BIGINT,,,,,异常时间,
MONITORNOTIFYLOG.title,VARCHAR,100,,,,异常描述,
MONITORNOTIFYLOG.content,CLOB,,,,,异常内容,
MONITORNOTIFYLOG.status,TINYINT,,,,,当前状态,
MONITORNOTIFYLOG.notifyStyle,TINYINT,,,,,通知方式,
MONITORNOTIFYLOG.notifyStatus,TINYINT,,,,,通知状态,
MONITORNOTIFYLOG.notifyObject,CLOB,,,,,通知对象,
MONITORNOTIFYLOG.notifyError,CLOB,,,,,通知异常内容,
BUILDHISTORYLOG.id,VARCHAR,50,,1,1,'表id',构建历史记录
BUILDHISTORYLOG.buildDataId,VARCHAR,50,,,,'构建的数据id',
BUILDHISTORYLOG.buildNumberId,INTEGER,,,,,'构建编号',
BUILDHISTORYLOG.status,TINYINT,,,,,'构建状态',
BUILDHISTORYLOG.startTime,BIGINT,,,,,'开始时间',
BUILDHISTORYLOG.endTime,BIGINT,,,,,'结束时间',
BUILDHISTORYLOG.resultDirFile,VARCHAR,200,,,,'构建产物目录',
BUILDHISTORYLOG.releaseMethod,TINYINT,,,,,'发布方式',
BUILDHISTORYLOG.releaseMethodDataId,VARCHAR,200,,,,'发布的数据id',
BUILDHISTORYLOG.afterOpt,TINYINT,,,,,'发布后操作',
OUTGIVINGLOG.id,VARCHAR,50,,1,1,id,分发日志
OUTGIVINGLOG.outGivingId,VARCHAR,50,,,,'分发id',
OUTGIVINGLOG.status,TINYINT,,,,,'状态',
OUTGIVINGLOG.startTime,BIGINT,,,,,'开始时间',
OUTGIVINGLOG.endTime,BIGINT,,,,,'结束时间',
OUTGIVINGLOG.result,CLOB,,,,,'消息',
OUTGIVINGLOG.nodeId,VARCHAR,100,,,,'节点id',
OUTGIVINGLOG.projectId,VARCHAR,100,,,,'项目id',
SYSTEMMONITORLOG.id,VARCHAR,50,,1,1,'id',系统监控记录
SYSTEMMONITORLOG.nodeId,VARCHAR,100,,,,'节点id',
SYSTEMMONITORLOG.monitorTime,BIGINT,,,,,'监控时间',
SYSTEMMONITORLOG.occupyCpu,DOUBLE,,,,,'占用cpu',
SYSTEMMONITORLOG.occupyMemory,DOUBLE,,,,,'占用内存',
SYSTEMMONITORLOG.occupyDisk,DOUBLE,,,,,'占用磁盘',
SSHTERMINALEXECUTELOG.id,VARCHAR,50,,1,1,'id',ssh 终端操作记录表
SSHTERMINALEXECUTELOG.ip,VARCHAR,30,,,,'客户端IP地址',
SSHTERMINALEXECUTELOG.userId,VARCHAR,30,,,,'操作的用户ID',
SSHTERMINALEXECUTELOG.optTime,BIGINT,,,,,'操作时间',
SSHTERMINALEXECUTELOG.userAgent,CLOB,,,,,'浏览器标识',
SSHTERMINALEXECUTELOG.commands,CLOB,,,,,'操作的命令',
SSHTERMINALEXECUTELOG.sshId,varchar,50,,,,'操作的sshid',
SSHTERMINALEXECUTELOG.sshName,varchar,50,,,,'操作的ssh name',
SSHTERMINALEXECUTELOG.refuse,INTEGER,,,,,'拒绝执行',
