name,type,len,default,not-null,primary-key,comment,table-comment
BACKUP_INFO.id,VARCHAR,50,,1,1,id,备份数据库信息
BACKUP_INFO.createTimeMillis,BIGINT,,,,,数据创建时间',
BACKUP_INFO.modifyTimeMillis,BIGINT,,,,,数据修改时间',
BACKUP_INFO.`name`,VARCHAR,50,,,,备份名称',
BACKUP_INFO.filePath,VARCHAR,200,,,,文件地址',
BACKUP_INFO.backupType,int,,,,,备份类型{0: 全量 1: 部分}',
BACKUP_INFO.fileSize,BIGINT,,,,,文件大小',
BACKUP_INFO.sha1Sum,VARCHAR,50,,,,SHA1 信息',
BACKUP_INFO.`status`,int,,0,,,状态{0: 默认; 1: 成功; 2: 失败},
